"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.9,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",4.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",4.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",4.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",4.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.2,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.7,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.8,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",5.4,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",5.1,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",5.1,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",4.9,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.9,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4.8,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.4,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.3,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.1,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.8,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",2.9,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.6,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.1,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.4,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",2.8,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",2.7,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.6,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",2.6,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.3,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.4,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.4,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.9,"B"
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.6,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.5,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.9,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.8,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.9,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.5,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.5,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.4,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.3,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.8,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.7,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.5,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.7,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.1,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.8,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.4,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.9,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",6.2,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",5.7,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",5.9,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",5.6,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",5.1,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",5.3,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.9,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4.9,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",2.3,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",1.4,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",2,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.5,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",1.8,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.2,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",0.9,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",1.1,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.8,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.9,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.2,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.4,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.3,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.6,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.5,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.3,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.2,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.1,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.1,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.2,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.9,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.9,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",2.8,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",2.6,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",2.6,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.6,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",2.4,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.3,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.3,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.2,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.7,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4.1,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.5,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.4,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.2,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.2,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.9,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",2.6,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",2.5,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",1.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",1.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",2.5,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.4,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.3,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.5,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",16.9,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",16.3,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",15.7,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",15.1,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",14.6,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",14.1,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",13.7,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",13.3,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.9,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4.4,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",4.1,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.8,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.8,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.8,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.7,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",5,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",5.1,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",4.8,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",5,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",5.2,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",5.5,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",5.2,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4.7,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.1,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.2,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.1,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.7,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.1,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.8,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.4,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.5,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",6.4,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",5.6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",5.6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",5,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.7,
